,x,y
0,28.2549152374,0
1,3.20416545868,0
2,28.8374919891,0
3,11.6515111923,0
4,8.15605831146,0
5,31.7503681183,0
6,2.33030223846,0
7,25.0507488251,0
8,4.36931705475,0
9,30.2939281464,0
10,2.33030223846,0
11,27.0897636414,0
12,10.7776479721,0
13,7.57348203659,0
14,25.3420372009,0
15,8.15605831146,0
16,9.32120895386,0
17,13.6905260086,0
18,32.3329429626,0
19,5.53446769714,0
20,7.28219413757,0
21,28.8374919891,0
22,39.9064254761,0
23,9.90378475189,0
24,9.32120895386,0
25,31.4590816498,0
26,32.9155197144,0
27,8.44734573364,0
28,6.69961881638,0
29,4.07802915573,0
30,2.03901457787,0
31,4.66060447693,0
32,5.53446769714,0
33,37.8674125671,0
34,10.7776479721,0
35,6.69961881638,0
36,11.0689353943,0
37,6.99090671539,0
38,12.8166618347,0
39,1.45643889904,0
40,10.7776479721,0
41,9.61249732971,0
42,5.53446769714,0
43,10.1950731277,0
44,10.4863595963,0
45,4.95189237595,0
46,11.3602237701,0
47,13.6905260086,0
48,12.8166618347,0
49,5.24317979813,0
50,4.07802915573,0
51,4.36931705475,0
52,5.53446769714,0
53,13.9818134308,0
54,2.62158989906,0
55,5.24317979813,0
56,8.7386341095,0
57,17.1859798431,0
58,18.6424179077,0
59,24.1768875122,0
60,23.5943107605,0
61,15.7295408249,0
62,23.0117359161,0
63,14.5643882751,0
64,45.1496047974,0
65,20.9727191925,0
66,14.855676651,0
67,31.1677932739,0
68,20.6814346313,0
69,29.1287765503,0
70,8.7386341095,0
71,24.4681720734,0
72,2.03901457787,0
73,29.1287765503,0
74,8.7386341095,0
75,12.5253744125,0
76,29.711353302,0
77,7.28219413757,0
78,17.477268219,0
79,49.2276382446,0
80,31.7503681183,0
81,29.4200649261,0
82,8.15605831146,0
83,34.3719596863,0
84,36.4109725952,0
85,41.945438385,0
86,14.2731018066,0
87,18.0598430634,0
88,16.8946914673,0
89,44.5670318604,0
90,5.82575559616,0
91,19.2249946594,0
92,15.1469640732,0
93,16.6034030914,0
94,16.6034030914,0
95,19.2249946594,0
96,21.8465843201,0
97,26.7984752655,0
98,27.0897636414,0
99,25.6333236694,0
100,26.7984752655,0
101,25.6333236694,0
102,31.4590816498,0
103,18.0598430634,0
104,20.9727191925,0
105,32.9155197144,0
106,38.1586990356,0
107,4.07802915573,0
108,34.6632461548,0
109,28.8374919891,0
110,34.0806694031,0
111,34.6632461548,0
112,23.5943107605,0
113,22.4291591644,0
114,15.7295408249,0
115,29.1287765503,0
116,27.6723403931,0
117,44.2757415771,0
118,5.53446769714,0
119,32.6242332458,0
120,14.855676651,0
121,17.477268219,0
122,33.2068061829,0
123,17.7685546875,0
124,25.0507488251,0
125,45.7321815491,0
126,25.3420372009,0
127,39.0325622559,0
128,30.5852165222,0
129,35.2458229065,0
130,30.5852165222,0
131,25.0507488251,0
132,35.8283996582,0
133,36.7022590637,0
134,36.1196861267,0
135,27.9636268616,0
136,41.0715751648,0
137,4.36931705475,0
138,36.4109725952,0
139,31.7503681183,0
140,28.5462036133,0
141,33.7893829346,0
142,49.8102149963,0
143,42.8193016052,0
144,39.0325622559,0
145,37.5761222839,0
146,24.4681720734,0
147,31.4590816498,0
148,30.2939281464,0
149,39.9064254761,0
150,35.537109375,0
151,40.1977157593,0
152,32.0416564941,0
153,27.9636268616,0
154,25.3420372009,0
155,35.537109375,0
156,29.4200649261,0
157,38.4499893188,0
158,41.6541519165,0
159,35.537109375,0
160,38.4499893188,0
161,28.2549152374,0
162,35.2458229065,0
163,32.0416564941,0
164,31.1677932739,0
165,3.20416545868,0
166,24.4681720734,0
167,31.1677932739,0
168,31.4590816498,0
169,41.6541519165,0
170,33.7893829346,0
171,24.4681720734,0
172,27.9636268616,0
173,32.0416564941,0
174,31.7503681183,0
175,30.5852165222,0
176,25.0507488251,0
177,25.6333236694,0
178,26.7984752655,0
179,32.9155197144,0
180,25.6333236694,0
181,30.2939281464,0
182,27.6723403931,0
183,31.1677932739,0
184,26.7984752655,0
185,21.8465843201,0
186,16.0208282471,0
187,22.4291591644,0
188,16.3121166229,0
189,20.6814346313,0
190,17.1859798431,0
191,20.3901462555,0
192,17.477268219,0
193,19.2249946594,0
194,28.5462036133,0
195,25.0507488251,0
196,46.8973350525,0
197,0.582575559616,0
198,32.6242332458,0
199,25.0507488251,0
200,36.4109725952,0
201,31.4590816498,0
202,31.4590816498,0
203,32.0416564941,0
204,31.7503681183,0
205,5.82575559616,0
206,23.3030223846,0
207,42.5280151367,0
208,31.1677932739,0
